intencao,palavras,resposta
d_devolucao,"conta, pix, cartão, crédito, dinheiro, transferência, banco, pagar, qd, recebo, cai, como recebo, como funciona reembolso, como é o reembolso, como eh o reembolso, quando cai, quando chega, volta quando, prazo reembolso, prazo de reembolso, reembolso em quanto tempo, reembolso quanto tempo, reembolso dias, reembolso 3 dias, em quanto tempo, em quantos dias, gasto, resgate, devolvido, reembolso pix, reembolso transferência, reembolso boleto, reembolso cartão, reembolso crédito, reembolso dinheiro, volta pra conta, volta pro cartão, volta pro credito, volta na fatura, na fatura quando, fatura do cartão, fatura do credito, dinheiro de volta, como recebo de volta, como faço pra receber, como receber, receber dinheiro de volta, receber reembolso","O reembolso e feito pelo mesmo metodo que voce utilizou no pagamento. PIX: cai direto na conta de origem. Cartao: o estorno aparece na sua fatura em ate 2 faturas. Boleto: entraremos em contato para pedir seus dados bancarios."
unidades,"loja, unidade, onde, endereco, endereço, proxima, perto, localizacao, localização, local, filial, filiais, loja física, loja fisica, loja mais perto, loja mais próxima, loja proxima, loja próxima, qual loja, aonde fico, aonde fica, fica onde, fica aonde, qual é o endereço, qual eh o endereco, qual o endereço, qual o endereco, endereço loja, endereco loja, endereços, enderecos, cep da loja, cep da unidade, telefone loja, telefone unidade, horário de funcionamento, horario de funcionamento, funciona quando, aberto, fechado, abre quando, fecha quando, dias de funcionamento, dias úteis, dias uteis, sábado, sabado, domingo, segunda, terça, terca, quarta, quinta, sexta, domingo aberto, sábado aberto, sabado aberto, localizar loja, procurar loja, encontrar loja, achar unidade, encontrar unidade, qual loja fica perto de mim, minha loja, loja da minha região, loja da minha regiao, loja no meu bairro, bairro, região, regiao, cidade, estado, rua, avenida, av, morada, residência, residencia, base, onde voces estao, como chegar","Para encontrar a loja mais perto de voce, basta clicar neste link: [Link do Mapa de Lojas] ou me enviar o seu CEP que eu verifico agora mesmo!"
cancelamento,"cancelar, cancelar pedido, quero cancelar, desistir, desistencia, desistência, cancelar compra, anular, desfazer, cancelar entrega, como cancela, suspender, cancelar pagamento, nao quero mais, não quero mais, desisti, mudei de ideia, quero cancelar o pedido, cancela meu pedido, prazo de cancelamento, posso cancelar, da pra cancelar","Para solicitar o cancelamento do seu pedido, por favor, informe o ID da compra. O cancelamento pode ser feito de forma automatica caso a mercadoria ainda nao tenha sido faturada. Caso ja esteja em separacao ou despacho, nossa equipe analisara o melhor procedimento."
comprovante,"comprovante, recibo, enviei o pix, ta pago, tá pago, paguei, comprovante de pagamento, foto do comprovante, anexo, arquivo, comprovante de transferencia, comprovante do boleto, pdf, mandei o pix, fiz o pix, pix enviado, ja paguei, acabei de pagar, realizei o pagamento, efetuei o pagamento, paguei agora, enviei comprovante","Por favor, envie o arquivo (PDF ou imagem) do seu comprovante de pagamento por aqui. Assim que nosso setor financeiro validar, seu pedido sera liberado!"
falar_atendente,"humano, atendente, pessoa, falar com humano, falar com atendente, representante, suporte, ajuda humana, alguem real, transferir, repassar, falar com alguem, atendente real, preciso de ajuda, atendente fisico, quero falar com pessoa, nao quero robo, não quero robô, falar com especialista, falar com gerente, falar com responsavel","Compreendo. Vou transferir o seu atendimento para um de nossos especialistas. Por favor, aguarde so um instante."
alterar_dados,"mudar endereco, alterar endereço, mudar endereço, alterar pedido, corrigir nome, mudar dados, atualizar cadastro, atualizar dados, arrumar endereço, corrigir cpf, erro no cep, alterar email, mudar email, alterar telefone, mudar telefone, corrigir endereco, dados errados, dado errado, erro no cadastro, cadastro errado, informacao errada, corrigir dados, preciso corrigir, quero atualizar, quero corrigir","Para atualizar seus dados cadastrais ou alterar o endereco de entrega, informe o seu CPF e o dado que deseja corrigir. Lembrando que mudancas de endereco so valem para pedidos que ainda nao foram despachados."
estorno_atrasado,"estorno não caiu, estorno nao caiu, não recebi o estorno, nao recebi o estorno, reembolso atrasado, kd o reembolso, cade o reembolso, cadê meu dinheiro, cade meu dinheiro, dinheiro não caiu, dinheiro nao caiu, passou do prazo, não reembolsou, nao reembolsou, cadê o estorno, cade o estorno, atraso na devolução, atraso na devolucao, cadê meu reembolso, cade meu reembolso, não recebi de volta, nao recebi de volta, reembolso nao chegou, estorno sumiu, dinheiro sumiu","Sentimos muito por isso! As operadoras de cartao ou bancos podem levar um prazo extra para refletir a transacao. Por favor, digite seu CPF ou ID do pedido, para ajustarmos este ocorrido da melhor forma!"
horario_atendimento,"horario, horário, que horas abre, que horas fecha, funciona que horas, ate que horas, até que horas, funcionamento, dias de atendimento, estão abertos, estao abertos, qual o horario, horário de suporte, fora de horario, atende final de semana, atende sabado, atende domingo, trabalha sabado, funciona sabado, horario de funcionamento, quando abre, quando fecha, que dia funciona","Nosso setor financeiro e de suporte atende de segunda a sexta, das 08h as 18h, e aos sabados das 08h as 12h. Como posso te ajudar hoje?"
limite_credito,"limite, meu limite, limite de credito, aumentar limite, qual meu limite, limite disponivel, aprovação de limite, crédito pré-aprovado, analise de credito, limite da loja, crediario, meu crediario, solicitar credito, credito disponivel, limite bloqueado, limite esgotado, sem limite, limite insuficiente, aumentar credito, quero mais limite, preciso de mais limite","Para consultar ou solicitar aumento do seu limite de credito pre-aprovado na FashionFlow, precisaremos realizar uma rapida analise. Poderia confirmar o seu CPF?"
despedida,"tchau, adeus, obrigado, obrigada, valeu, até mais, ate mais, encerra, finalizar, até logo, ate logo, grato, grata, perfeito, era só isso, era so isso, so isso, agradeço, agradeco, show, blz, beleza, obg, muito obrigado, muito obrigada, ta otimo, ta bom, resolveu, foi isso, foi tudo, era isso, pode fechar, ate a proxima, ate mais tarde","A FashionFlow agradece o seu contato! Se precisar de mais alguma ajuda financeira ou com seus pedidos, e so chamar. Tenha um excelente dia!"
erro_pagamento,"erro no cartao, recusado, pagamento recusado, cartao nao passou, cartão não passou, não aprovou, nao aprovou, deu erro, falha no pagamento, erro no pix, pix nao copia, pix não copia, link quebrado, link nao funciona, link não funciona, refazer pagamento, pagamento falhou, pagamento negado, cartão negado, cartao negado, transação negada, transacao negada, pix expirou, pix venceu, pix não gerou, pix nao gerou, nao consigo pagar, não consigo pagar, erro ao pagar, problema no pagamento","Parece que houve uma falha no processamento do seu pagamento. Verifique se os dados estao corretos ou se ha limite disponivel. Deseja que eu gere um novo link de pagamento ou um novo PIX copia e cola?"
nao_entendido,"não entendi, nao entendi, não compreendi, nao compreendi, como assim, hein, hm, o que, oque, repete, repita, pode repetir, nao captei, não captei, perdão, perdao, desculpa, o que voce disse, não entendo, nao entendo, confuso, ta confuso","Desculpe, nao entendi muito bem sua solicitacao. Poderia reformular ou me contar com mais detalhes o que precisa? Se quiser, pode digitar ajuda para ver todas as opcoes de atendimento."
